,body,Amir,Ali,Misagh,
4055,so i have designed a list ,,,,
4056,  List<String> holdvalues = new List<String>();,,,,
4057,how can i design such a method as mentioned above ,,,,
4058,['Want to know how a request is processed by multiple servers maintaining the same user session.,,,,
4059,For example: We log-in to IRCTC and try to book a ticket. ,,,,
4060,"During payment IRCTC lists out multiple bank options with radio buttons for online transaction. Assuming that I decide to do transaction using CITI bank, when I click on CITI Bank radio button I am redirected to CITI Bank website transaction page i.e you will see URL is switched from IRCTC Website to CITI Bank URL. It means I am completely out of IRCTC and switched to CITI BANK website. Now when my payment transaction is completed, I am switched back to IRCTC website from CITI Bank website WITHOUT ENDING THE USER SESSION i.e when I am switched back from CITI bank URL to IRCTC after completing transaction the user session is maintained in logged-in state. ",,,,
4061,I would like to know how this works.,,,,
4062,How a request is sent from IRCTC to CITI Bank website,,,,
4063,How CITI Bank server receives details from IRCTC,,,,
4064,How the same request comes back from CITI Bank to IRCTC,,,,
4065,i.e how servers are switched    (from CITI bank to IRCTC),,,,
4066,How same user session is maintained between two different servers during communication    i.e IRCTC will show user as logged-in user when request comes back from CITI Bank to IRCTC after payment transaction is complete. How does same user session maintained while switching between two servers ? ,,,,
4067,I am using Struts frame work. Kindly help me in this regard and implementing the same with some examples. ,,,,
4068,"Assuming IRCTC using struts (Jsp/Servlets), which struts component takes the resposibility to send the details of IRCTC to Citi bank and recieve back detials form CITI bank to IRCTC. Is it possible using Requestdispacter.sendRedirect() OR somthing else ?",,,,
4069,['I have a JTree with a custom TreeCellRenderer.,,,,
4070,      DefaultMutableTreeNode myTreeRoot = new DefaultMutableTreeNode();,,,,
4071,      JTree myTree = new JTree(myTreeRoot);,,,,
4072,      myTree.setCellRenderer(new DefaultTreeCellRenderer() {,,,,
4073,"             public Component getTreeCellRendererComponent(JTree tree, Object value, boolean sel, boolean expanded, boolean leaf, int row, boolean hasFocus) {",,,,
4074,                     if (((DefaultMutableTreeNode) value).getUserObject() instanceof MyObject) {,,,,
4075,"                             System.out.println(""============= my object ==========="" + value);",,,,
4076,"                     return super.getTreeCellRendererComponent(tree, value, sel, expanded, leaf, row, hasFocus);",,,,
4077,Then I add the nodes to the tree dynamically after it displayed. Consider the case of adding only one child.,,,,
4078,"      MyObject object = new MyObject(""Child Node"");",,,,
4079,      DefaultMutableTreeNode myTreeNode = new DefaultMutableTreeNode(object);,,,,
4080,Then I hide tree root as well,,,,
4081,      myTree.expandRow(0);,,,,
4082,      if (myTreeRoot.getChildCount() != 0) {,,,,
4083,      SwingUtilities.invokeLater(new Runnable() {,,,,
4084,            public void run() {,,,,
4085,Laterly there is another option to remove these nodes,,,,
4086,      private void removeNode(MyObject object) {,,,,
4087,            DefaultMutableTreeNode myTreeNode = getTreeeNode(object); //This method traverse through the tree and returns the corresponding node,,,,
4088,            DefaultMutableTreeNode selectedNode = (DefaultMutableTreeNode) myTree.getSelectionPath().getLastPathComponent();,,,,
4089,            int selectedRow = -1;,,,,
4090,            if (myTree.getSelectionRows().length > 0) {,,,,
4091,                  selectedRow = myTree.getSelectionRows()[0];,,,,
4092,            boolean isSelected = selectedNode == myTreeNode;,,,,
4093,            if (isSelected) {,,,,
4094,                  if (myTree.getRowCount() == 1) {,,,,
4095,                  } else if (myTree.getRowCount() > selectedRow + 1) {,,,,
4096,                         myTree.setSelectionRow(selectedRow + 1);,,,,
4097,                  } else if (selectedRow != 0) {,,,,
4098,            DefaultMutableTreeNode parent = (DefaultMutableTreeNode) myTreeNode.getParent();,,,,
4099,            SwingUtilities.invokeLater(new Runnable() { ,,,,
4100,                  public void run() {,,,,
4101,"Now the problem I have is when there is only one child at the root of the tree and if I chosen to remove that child, after the removal getTreeCellRendererComponent() method still points to that removed object.",,,,
4102,Is there any clue for that?,,,,
4103,['All code my app is in this class,,,,
4104,    public class MapsActivity extends FragmentActivity implements,,,,
4105,"I found very important for my app code on stack, but this code is in other class:",,,,
4106,public class GpsLocationReceiver extends BroadcastReceiver implements LocationListener ,,,,
4107,"public void onReceive(Context context, Intent intent)",,,,
4108,"        if (intent.getAction().matches(""android.location.PROVIDERS_CHANGED""))",,,,
4109,            // react on GPS provider change action ,,,,
4110,I do not know how to add the code from Class 2 to 1. Help.,,,,
4111,['I have a task in university to draw an ellipse and make it move step by step on the screen pressing the button only once. Here is my code:,,,,
4112,public class Window extends JPanel {,,,,
4113,private static Ellipse2D.Double Ellipse;,,,,
4114,private JFrame frame;,,,,
4115,public Window() {,,,,
4116,    int width = 20;,,,,
4117,    int height = 30;,,,,
4118,"    Ellipse = new Ellipse2D.Double(width, height, 100, 50);        ",,,,
4119,public Dimension getPreferredSize(),,,,
4120,"    return (new Dimension(frame.getWidth(), frame.getHeight()));",,,,
4121,public void paintComponent(Graphics g) {,,,,
4122,    Graphics2D brush = (Graphics2D) g;,,,,
4123,    int width = getWidth();,,,,
4124,    int height = getHeight();,,,,
4125,"    g.clearRect(0, 0, width, height);",,,,
4126,"    brush.setRenderingHint(RenderingHints.KEY_ANTIALIASING, RenderingHints.VALUE_ANTIALIAS_ON);",,,,
4127,"public class MoveCircle implements KeyListener, ActionListener {",,,,
4128,    public void keyPressed(KeyEvent e) {,,,,
4129,"        System.out.println(""Working on top!"");",,,,
4130,        double newX = 0; double newY = 0;,,,,
4131,        if (e.getKeyCode() == Event.ENTER) {                ,,,,
4132,            for (int i = 0; i < 26; i ++),,,,
4133,"                System.out.println(""Working on bottom!"");",,,,
4134,                newX = Ellipse.x + 10;,,,,
4135,                Ellipse.x = newX;,,,,
4136,                newY = Ellipse.y + 10;,,,,
4137,                Ellipse.y = newY;   ,,,,
4138,    public void keyReleased(KeyEvent e) {,,,,
4139,        // TODO Auto-generated method stub,,,,
4140,    public void keyTyped(KeyEvent e) {,,,,
4141,        // TODO Auto-generated method stub,,,,
4142,    public void actionPerformed(ActionEvent e) {,,,,
4143,        // TODO Auto-generated method stub,,,,
4144,private void createAndDisplayGUI(Window window),,,,
4145,    frame = new JFrame();,,,,
4146,    Container container = frame.getContentPane();       ,,,,
4147,    window.addKeyListener(new MoveCircle());        ,,,,
4148,"    frame.setSize(400, 400);",,,,
4149,public static void main(String[] args) {,,,,
4150,    SwingUtilities.invokeLater(new Runnable(),,,,
4151,        public void run(),,,,
4152,            Window window = new Window();,,,,
4153,} ,,,,
4154,Although I call the function repaint() in cycle each time still the ellipse just moves radically from the original point to the point defined in the last iteration without drawing position of the ellipse in each iteration.,,,,
4155,Is it possible to use a Swing Timer to make it repaint the ellipse in each iteration? I will be very glad to get help in this.,,,,
4156,['How do I output all the JSON lines into one XML output? My code only outputs the first JSON line.,,,,
4157,I have a data file that contains several JSON lines in them (CR & LF at end of each JSON line):,,,,
4158,My java src looks like:,,,,
4159,import org.json.JSONObject; ,,,,
4160,import org.json.XML;,,,,
4161,//Reads in the file and makes it one big string (which works correctly) ,,,,
4162,"String jsonData = readFile(""testfilePD.json"");",,,,
4163,//Converts the JSON string into XML but stops after first line. ,,,,
4164,String jsonBody = Convert_JSON_TO_XML.convert_json(jsonData); System.out.println(jsonBody);,,,,
4165,//I\'m using the XML library to convert    ,,,,
4166,public static String convert_json(String json_value) {,,,,
4167,"    String xml = ""<node>"";",,,,
4168,    try {,,,,
4169,        JSONObject jsoObject = new JSONObject(json_value);,,,,
4170,        xml = xml + XML.toString(jsoObject);,,,,
4171,    } catch (Exception e) {,,,,
4172,"    xml = xml + ""</node>"";",,,,
4173,    return xml;,,,,
4174,"Or, is there a better JSON to XML conversion library? Or how do I modify the XML library to read my entire file and output them in one big XML file correctly.  I\'m eventually sending this xml file to a web service API for ingestion. I\'m stuck.",,,,
4175,Output should be something like:,,,,
4176,"<?xml version=""1.0""?>",,,,
4177,"['I need to check CPU and memory usage for the server in java, anyone know how it could be done?",,,,
4178,"['I would like to avoid using native libaries if at all possible.  Surely there is a better way to solve this issue for Linux, Windows and Mac OS X.",,,,
4179,['I have this pair of daos:,,,,
4180,package com.company.project.model.requests.type;,,,,
4181,public class RequestTypeDaoHibernate extends AbstractReadDao implements RequestTypeDao {,,,,
4182,package com.company.project.model.support.type;,,,,
4183,public class RequestTypeDaoHibernate extends AbstractReadDao implements RequestTypeDao {,,,,
4184,and I\'m trying to inject them in some XXXServiceImpl classes (never both in the same class) like this:,,,,
4185,private RequestTypeDao requestTypeDao;,,,,
4186,"Because they are not the same type, I was expecting Spring to inject based on the imported type from the corect package (there are never imported two RequestTypeDao from the same package), but it shows an error:",,,,
4187,"Annotation-specified bean name \'requestTypeDao\' for bean class [com.company.project.model.support.type.RequestTypeDaoHibernate] conflicts with existing, non-compatible bean definition of same name and class [com.company.project.model.requests.type.RequestTypeDaoHibernate]",,,,
4188,At the error you can see the class is not the same. I have read about the @Qualifier annotation but I understand it would imply changing the name in written in the @Repository annotation. I also think that @Resource or @Inject are not what I looking for.,,,,
4189,"We don\'t mind changing names in the end, but we want to know if real injection by type can be made through Spring. This is two repositories with same name and different class types and packages being injected in distinct and different classes (never the same one).",,,,
4190,['I installed the required jdk and icedtea application in ubuntu 14.04.,,,,
4191,Then I ran the following command  :,,,,
4192, javaws http://www.topcoder.com/contest/arena/ContestAppletProd.jnlp,,,,
4193,The icedtea application is opening but is stuck in the loading part. What should I do?,,,,
4194,['i update the opengl version. ,,,,
4195,But i got an error :,,,,
4196,"           AWTGLPixelBuffer pixelBuffer = pixelBufferProvider.allocate(gl,",,,,
4197,"My library could not find awtPixelAttributesIntRGB3 . If i use old version, it can find that.",,,,
4198,I import the same library : import com.jogamp.opengl.util.awt.AWTGLPixelBuffer;,,,,
4199,"Last thing, i downloaded last version of opengl here (jogamp-all-platforms.7z) : ",,,,
4200,http://jogamp.org/deployment/jogamp-current/archive/,,,,
4201,And i only add jogamp-all.jar to my lib folder.,,,,
4202,Thanks in advice.,,,,
4203,"['The SCCE below shows 2 classes (B and C) implementing the interface Marker. For  each class that implements Marker there is a corresponding class implementing the generic Handler interface (B_Handler, C_Handler). A map is used to associate the Class type of Pair.second to it\'s associated Handler. The code executes as anticipated; however, I get a compile-time warning:",,,,
4204,warning: [unchecked] unchecked cast,,,,
4205,        Handler h1 = (Handler) (dispatch.get(p1.second.getClass()));,,,,
4206,  required: Handler,,,,
4207,  found:    Handler,,,,
4208,  where CAP#1 is a fresh type-variable:,,,,
4209,    CAP#1 extends Marker from capture of ? extends Marker,,,,
4210,"What\'s the cleanest way to resolve this besides @SuppressWarnings(value = ""unchecked"")?",,,,
4211,package genericpair;,,,,
4212,import java.util.HashMap;,,,,
4213,import java.util.Map;,,,,
4214,import javax.swing.SwingUtilities;,,,,
4215,public class GenericPair,,,,
4216,    public class A,,,,
4217,    public interface Marker,,,,
4218,    public class B implements Marker,,,,
4219,    public class C implements Marker,,,,
4220,"    public Pair<A, Marker> getTarget()",,,,
4221,        A a = new A();,,,,
4222,        C c = new C();,,,,
4223,"        return new Pair<>(a, c);",,,,
4224,    public interface Handler<T extends Marker>,,,,
4225,"        void handle(Pair<A, T> target);",,,,
4226,    public class B_Handler implements Handler<B>,,,,
4227,"        public void handle(Pair<A, B> target)",,,,
4228,    public class C_Handler implements Handler<C>,,,,
4229,"        public void handle(Pair<A, C> target)",,,,
4230,"    public class Pair<F, S>",,,,
4231,        public final F first;,,,,
4232,        public final S second;,,,,
4233,"        public Pair(F first, S second)",,,,
4234,            this.first = first;,,,,
4235,            this.second = second;,,,,
4236,    private void executeSCCE(),,,,
4237,        // register a handler for each Marker type,,,,
4238,"        Map<Class, Handler<? extends Marker>> dispatch = new HashMap<>();",,,,
4239,"        dispatch.put(B.class, new B_Handler());",,,,
4240,"        dispatch.put(C.class, new C_Handler());",,,,
4241,"        // get a target (e.g., Pair<A,C>)",,,,
4242,"        Pair<A, Marker> p1 = getTarget();",,,,
4243,        // select handler based on the class type of the second parameter,,,,
4244,        Handler<Marker> h1 = (Handler<Marker>) (dispatch.get(p1.second.getClass()));,,,,
4245,    public static void main(String[] args),,,,
4246,        SwingUtilities.invokeLater(() -> new GenericPair().executeSCCE());,,,,
4247,['following this tutorial:,,,,
4248,https://github.com/xzer/run-jetty-run,,,,
4249,i ran my jetty test method via command line and i am able to make calls on port 8080 however unfortunately i cannot now stop jetty on port 8080 stopping me from doing any more work. ,,,,
4250,i am using ,,,,
4251,java -jar start.jar --stop STOP.PORT=8080 STOP.KEY=stopkey --stacktrace,,,,
4252,any help please?,,,,
4253,this is my build test method i ran ,,,,
4254,gradle integrationTest,,,,
4255,task integrationTest(type: Test) {,,,,
4256,    include \'**/*IntegrationTest*\',,,,
4257,    doFirst {,,,,
4258,        jettyRun.contextPath = \'/\';,,,,
4259,        jettyRun.httpPort = 8080    // Port for test,,,,
4260,        jettyRun.daemon = true,,,,
4261,    doLast {,,,,
4262,        jettyStop.stopPort = 8091   // Port for stop signal,,,,
4263,        jettyStop.stopKey = \'stopKey\',,,,
4264,http://localhost:8080/hello,,,,
4265,keeps printing hello world.,,,,
4266,"['So I wanted to add few modules to my project. But when I try to add new module, I have information that ""The project must have a packaging type of POM"". And when I change it to POM, I have error: ""Could not find or load main class pl.marek.countriesmapper.CountriesDirectoryMake"".",,,,
4267,Here is my pom.xml:,,,,
4268,"<project xmlns=""http://maven.apache.org/POM/4.0.0"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""",,,,
4269,"    xsi:schemaLocation=""http://maven.apache.org/POM/4.0.0 http://maven.apache.org/xsd/maven-4.0.0.xsd"">",,,,
4270,"    <packaging>pom</packaging>    <----- Here when I have jar is all ok, when POM - error.",,,,
4271,                        <!--make sure it runs AFTER integration tests -->,,,,
4272,Now I created new POM Maven Project called mapper. The POM of new project looks like this:,,,,
4273,"<project xmlns=""http://maven.apache.org/POM/4.0.0"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://maven.apache.org/POM/4.0.0 http://maven.apache.org/xsd/maven-4.0.0.xsd"">",,,,
4274,In pom.xml of countries-maper I changed begining. Now it\'s look like this:,,,,
4275,<modelVersion>4.0.0</modelVersion>,,,,
4276,And now I have errors:,,,,
4277,[ERROR] The build could not read 1 project -> [Help 1],,,,
4278,[ERROR]   The project pl.marek:countries-mapper:0.0.1-SNAPSHOT (/home/mateusz/Dokumenty/GIT/Countries/countries-maper/pom.xml) has 1 error,,,,
4279,"[ERROR]     Non-resolvable parent POM: Could not find artifact pl.marek:mapper:pom:0.0.1-SNAPSHOT in codehaus (http://repository.codehaus.org/org/codehaus) and \'parent.relativePath\' points at wrong local POM @ line 4, column 10 -> [Help 2]",,,,
4280,['i have a program to show a static Google map after inputting data but when i want to refresh my map the JLabel doesn\'t change. here is my code for the buttons one just clears the map: ,,,,
4281,"    JButton btnMakeMap = new JButton(""Make map"");",,,,
4282,        btnMakeMap.addActionListener(new ActionListener() {,,,,
4283,            public void actionPerformed(ActionEvent arg0) {,,,,
4284,"                Map map = new Map(txfPlace.getText(), cmbMarkerName.getSelectedItem().toString().charAt(0), cmbMrkColour.getSelectedItem().toString(), Integer.parseInt(cmbZoom.getSelectedItem().toString()), ",,,,
4285,"                        cmbMrkSize.getSelectedItem().toString(), chbCenter.isSelected(), cmbType.getSelectedItem().toString());",,,,
4286,"                ImageIcon im = new ImageIcon(""map.jpg"");",,,,
4287,"        btnMakeMap.setBounds(235, 146, 117, 49);",,,,
4288,"        JButton btnRefresh = new JButton(""clear map"");",,,,
4289,        btnRefresh.addActionListener(new ActionListener() {,,,,
4290,            public void actionPerformed(ActionEvent arg0) {,,,,
4291,"//              Map map = new Map(txfPlace.getText(), cmbMarkerName.getSelectedItem().toString().charAt(0), cmbMrkColour.getSelectedItem().toString(), Integer.parseInt(cmbZoom.getSelectedItem().toString()), ",,,,
4292,"//                      cmbMrkSize.getSelectedItem().toString(), chbCenter.isSelected(), cmbType.getSelectedItem().toString());",,,,
4293,//              map.genimage();,,,,
4294,"//              ImageIcon im = new ImageIcon(""map.gif"");",,,,
4295,//              lblMap.setIcon(im);,,,,
4296,"        btnRefresh.setBounds(406, 172, 89, 23);",,,,
4297,this is the code for the class it uses:,,,,
4298,package com.mymaps;,,,,
4299,import java.awt.Image;,,,,
4300,import java.awt.image.BufferedImage;,,,,
4301,import java.io.File;,,,,
4302,import java.io.FileOutputStream;,,,,
4303,import java.io.IOException;,,,,
4304,import java.io.InputStream;,,,,
4305,import java.io.OutputStream;,,,,
4306,import java.net.HttpURLConnection;,,,,
4307,import java.net.MalformedURLException;,,,,
4308,import java.net.URL;,,,,
4309,import java.util.Scanner;,,,,
4310,import javax.imageio.ImageIO;,,,,
4311,import javax.swing.ImageIcon;,,,,
4312,import org.apache.http.HttpConnection;,,,,
4313,import org.jboss.remoting.transport.Connector;,,,,
4314,public class Map {,,,,
4315,"    private String URl = ""https://maps.googleapis.com/maps/api/staticmap?"";",,,,
4316,    private int Zoom = 1;,,,,
4317,"    private String Location = """";",,,,
4318,"    private String markColor = """";",,,,
4319,"    private String Marker = """";",,,,
4320,    private char markName;,,,,
4321,"    private String markSize = """";",,,,
4322,"    private String mapSize = ""&size=400x400"";",,,,
4323,    private boolean wantMarkeratCenter = false;,,,,
4324,"    private String mapType = ""maptype="";",,,,
4325,"    public Map(String location, char name, String colour, int zoom,",,,,
4326,"            String mrksize, boolean center, String type) {",,,,
4327,        Location = location;,,,,
4328,        markName = name;,,,,
4329,        markColor = markColor + colour;,,,,
4330,        markSize = mrksize;,,,,
4331,        Zoom = zoom;,,,,
4332,        wantMarkeratCenter = center;,,,,
4333,        mapType = mapType + type;,,,,
4334,        // if (wantMarkeratCenter){//check if the user wants a marker at the,,,,
4335,        // center,,,,
4336,        // genMarker();,,,,
4337,        // genURlWcenter();,,,,
4338,        // }else{,,,,
4339,        // if(!wantMarkeratCenter){,,,,
4340,        // genMarker();,,,,
4341,        // genURl();,,,,
4342,        // },,,,
4343,        // },,,,
4344,    public boolean validateURl() {// validates URl length,,,,
4345,        boolean isValid = false;,,,,
4346,        if (URl.length() < 0 || URl.length() > 2048) {,,,,
4347,            isValid = true;,,,,
4348,        } else {,,,,
4349,            isValid = false;// y? just because,,,,
4350,        return isValid;,,,,
4351,    public void genURl() {// creates the URl for use,,,,
4352,        if (wantsSize()) {,,,,
4353,"            URl = URl + mapSize + ""&zoom="" + Zoom + ""&"" + mapType + ""&""",,,,
4354,                    + Marker;,,,,
4355,        } else {,,,,
4356,"            URl = URl + ""&"" + mapType + Marker;",,,,
4357,    public void genURlWcenter() {// generates URl with the center on the,,,,
4358,                                    // location point,,,,
4359,"        String loc = Location.replace(\'+\', \',\');",,,,
4360,        if (wantsSize()) {,,,,
4361,"            URl = URl + ""center="" + loc + mapSize + ""&"" + mapType + ""&"" + Marker;",,,,
4362,        } else {,,,,
4363,            URl = URl;,,,,
4364,    public void genMarker() {// generates the marker,,,,
4365,"        String name = """" + markName;",,,,
4366,"        Marker = ""markers=color:"" + markColor + ""|label:"" + name.toUpperCase()",,,,
4367,"                + ""|"" + Location;",,,,
4368,    private boolean wantsSize() {// checks if the user wanted a size or not,,,,
4369,                                    // based on the var size,,,,
4370,        boolean wantSize = false;,,,,
4371,        if (mapSize.length() != 0) {,,,,
4372,            wantSize = true;,,,,
4373,        return wantSize;,,,,
4374,    public String getMarker() {,,,,
4375,        return Marker;,,,,
4376,    public String getURl() {,,,,
4377,        return URl;,,,,
4378,    public void genimage() {,,,,
4379,        URL url;,,,,
4380,        try {,,,,
4381,            url = new URL(URl);,,,,
4382,            InputStream is = url.openStream();,,,,
4383,"            OutputStream os = new FileOutputStream(""map.jpg"");",,,,
4384,            byte[] b = new byte[2048];,,,,
4385,            int length;,,,,
4386,            while ((length = is.read(b)) != -1) {,,,,
4387,"                os.write(b, 0, length);",,,,
4388,        } catch (MalformedURLException e) {,,,,
4389,            // TODO Auto-generated catch block,,,,
4390,        } catch (IOException e) {,,,,
4391,            // TODO Auto-generated catch block,,,,
4392,    private void fixLocation() {,,,,
4393,        Scanner sc = new Scanner(Location);,,,,
4394,"        String temp = """";",,,,
4395,        while (sc.hasNext()) {,,,,
4396,"            temp = temp + sc.next() + ""+"";",,,,
4397,"        temp = temp.substring(0, temp.length() - 1);",,,,
4398,        Location = temp;,,,,
4399,    public String getLocation() {,,,,
4400,        return Location;,,,,
4401,    public ImageIcon getImage() {,,,,
4402,"        ImageIcon im = new ImageIcon(""map..jpg"");",,,,
4403,        return im;,,,,
4404,this is a runnable version of the code here ,,,,
4405,"['I\'m using wsdl files to generate client & is working fine on my local server since the generated files have path like ""C:\\path\\to\\wsdl\\Air.wsdl""",,,,
4406,I\'m trying to replace all the paths as above to the one that work on live server I\'ve found some hints but I\'m not so sure how to implement it (I\'m new to web services). ,,,,
4407,Below is how my files currently look like,,,,
4408,"@WebServiceClient(name = ""AirService"", ",,,,
4409,"              wsdlLocation = ""file:/C:/Eclipse WorkSpace/TravelPortCXF/WebContent/wsdl/air_v33_0/Air.wsdl"",",,,,
4410,"              targetNamespace = ""http://www.travelport.com/service/air_v33_0"") ",,,,
4411,    static {,,,,
4412,    URL url = null;,,,,
4413,    try {,,,,
4414,"        url = new URL(""file:/C:/Eclipse WorkSpace/TravelPortCXF/WebContent/wsdl/air_v33_0/Air.wsdl"");",,,,
4415,    } catch (MalformedURLException e) {,,,,
4416,"                 ""Can not initialize the default wsdl from {0}"", ""file:/C:/Eclipse WorkSpace/TravelPortCXF/WebContent/wsdl/air_v33_0/Air.wsdl"");",,,,
4417,    WSDL_LOCATION = url;,,,,
4418,"This seems to be like it should be changed (I\'m not sure about that, found it on googling)",,,,
4419,"@WebServiceClient(name = ""AirService"", ",,,,
4420,"              wsdlLocation = ""classpath:wsdl/air_v33_0/Air.wsdl"",",,,,
4421,"              targetNamespace = ""http://www.travelport.com/service/air_v33_0"") ",,,,
4422,              static {,,,,
4423,"    URL url = AirService.class.getClassLoader().getResource(""wsdl/air_v33_0/Air.wsdl"");",,,,
4424,    if (url == null) {,,,,
4425,"                 ""Can not initialize the default wsdl from {0}"", ""classpath:wsdl/air_v33_0/Air.wsdl"");",,,,
4426,    WSDL_LOCATION = url;   ,,,,
4427,But I actually don\'t understand how that method works.. Can someone please make me understand how can I change the path and where to place the wsdl files in the project so that it works properly on the live server and also the difference between both the codes.,,,,
4428,"Also I don\'t want to generate every-time when build is created, I want to generate the files (that are already been generated), place the wsdl somewhere in the project folder from where it can be accessed and then change the path in the Java files (by replacing all the paths at once) as in the above codes.",,,,
4429,['        class Process ,,,,
4430,          int PID;,,,,
4431,        Process[] processes = new Process[n];,,,,
4432,        for(int i=0;i<n;i++),,,,
4433,"            System.out.println(""Enter PID for process "" + (i+1) );",,,,
4434,            >>>processes[i].PID = Integer.parseInt(br.readLine());,,,,
4435,"I got the exception in "">>>"" What am i doing wrong? ",,,,
4436,['I have a datefield in tapestry5. The datefield is a field in the entity. I want the datefield can clicked only for 7 last days. example rightnow is 1 Aug. The datefield only can be clicked on 26 july until 1 aug. Can it possible?,,,,
4437,"if it is too complicated, can i limit date for 1 week, if the user click on 25 july or 2 aug, sysout or log or message or anything can be show up to say. Please click only current date or 7 days before rightnow.",,,,
4438,['i am writing simple 3d game in Java and i need code / lib for texture deforming. I don\'t want to use OpenGL.,,,,
4439,I have got texture:,,,,
4440,,,,,
4441,And i need deform it to:,,,,
4442,,,,,
4443,I hope everybody can understand me. Thanks!,,,,
4444,['I\'ve used the following regex to try to remove parentheses and everything within them in a string called name.,,,,
4445,"name.replaceAll(""\\\\(.*\\\\)"", """");",,,,
4446,"For some reason, this is leaving name unchanged.  What am I doing wrong?",,,,
4447,"[""I have a database in MySQL, and I want to programatically create all the same tables and fields in FileMaker Pro. I can do this myself using JDBC, but I was hoping that there was already a library that would do this.",,,,
4448,"I looked into DDLUtils from Apache, but I'm not able to figure out how to build it (it uses Maven for a build system and I get a fatal error when I try to build it).",,,,
4449,"['I have been developing an AJAX web application using GWT. I\'ve read several blogs and forums about this question and left with no clear idea. I understand that GWT is an AJAX application, that supports only stand-alone web application. By stand-alone, I meant GWT to be a single web page that would suffice the user requirements. However the use case I have is pretty complex and I\'m stuck in this use case that doesn\'t let me proceed. ",,,,
4450,My usecase(s) goes like this:,,,,
4451,"Usecase #1: There is an order entry form where user will enter a search string to search for a particular item. With GWT, I could display the result in a table (say celltable). However, when I click a column in the cellTable, I want the value of the column to be sent to the server and display another page that will display only the details of the selected column. I\'m not sure how to accomplish this. ",,,,
4452,"Usecase #2: Let\'s say the web application I develop is called ""InventoryControl"" and I have different requirements such as: ",,,,
4453,display Available stock,,,,
4454,display Order stock,,,,
4455,display Manufactured unit ,,,,
4456,"and Using Java servlets, I could just type http://localhost/availableStock?stockId=1234 on my browser to get the ""Display available stock"" for the given stockId and then http://localhost:orderStock?stockId=1234 to get the ""display order stock"" and similarly ""display manufactured unit"". Is the same possible using GWT? i.e. when I type http://localhost/availableStock?stockId=1234, is it possible to read the parameter being passed and then display the corresponding page? ",,,,
4457,"If these are not meant to be guaranteed by GWT, should I stick with Plain old JAVA servlets/JSP? ",,,,
4458,Thanks in advance. ,,,,
4459,"['How would approximate the following integral using Romberg Integration, ",,,,
4460,"min:1, max:1.6, ",,,,
4461,integral (2x)/((x^2)-4),,,,
4462,"Also computing the Romberg Table until |R_n-1,n-1 - R_n,n| < 10^-8.",,,,
4463,['I have to fire my notification 30 times in order to play the alarm sound 30 seconds continuously. But the process needs to get out of the loop if the user remove the notification from the notification pool? What is the best way to do this?   ,,,,
4464,for(int i ; i < 30; i++) {,,,,
4465,"    notificationManager.notify(tag, NOTIFICATION_ID, notification);",,,,
4466,"[""For a reference variable whose type is an interface, object you assign to it must  implement the interface.",,,,
4467,How does this stand true for the List Iterator interface which is being assigned an object which is of a class that does not implement it.(I couldn't find a relation in the hierarchy),,,,
4468,List<String> list = new ArrayList<String>();,,,,
4469,ListIterator<Type> it = list.listIterator(list.size());---1,,,,
4470,I read about Iterator being the superclass of  ListIterator but i couldnt find a relation between ListIterator and ArrayList or List.,,,,
4471,With List interface i know it has a method listIterator() which helps assign an iterator to collections. But which class actually implements the ListIterator for it to be assigned to it in the Hierarchy.,,,,
4472,I'm trying to understand statement 1 and how its assigned this value.,,,,
4473,"[""I try to use 'ArquillianResteasyResource' to inject WebTarget in my test, but WebTarget's variable remains null.",,,,
4474,public void testWithWT(@ArquillianResteasyResource WebTarget webTarget) {  ,,,,
4475,"When I directly injects my class service, everything works fine!",,,,
4476,public void testWithWT(@ArquillianResteasyResource MyService sv) {  ,,,,
4477,my pom dependences :,,,,
4478,what is the problem with the WebTarget ?,,,,
4479,any ideas ?,,,,
4480,Best regards,,,,
4481,['I have a Windows .bat file which contains a java call.  The java call looks something like this:,,,,
4482,"java -Dfile.encoding=Cp437 -jar name.jar -p ""path\\filename.prop""",,,,
4483,The filename.prop file contains several parameters used by the java program.,,,,
4484,I am running this .bat file directly from the command window.,,,,
4485,"The .bat file works fine as long as I allow it to output the log to the command window.  However, if I add redirection of the log, it causes errors indicating that it is NOT looking for the file defined in the -p parameter as it should be.",,,,
4486,"myfile.bat   - works, but writes log information to the command window",,,,
4487,myfile.bat > filename.log   - stops immediately with errors written to command window.,,,,
4488,myfile.bat > filename.log 2>&1  - stops immediately with errors written to the log file.,,,,
4489,The error produced is this:,,,,
4490,java.io.FileNotFoundException: path\\filename.prop (The system cannot find the path specified),,,,
4491,"where path\\filename.prop is NOT the value of the -p parameter in the .bat file.  (Note: I did not write the java program which is being called.  I suspect that the value of path\\filename.prop that I am seeing in the error is possibly one that is hardcoded in the program from testing times, but I am not certain.)",,,,
4492,"How can redirecting the log output have an effect on the parameters read by the java call inside the .bat file?  Is it somehow preventing the java call from ""seeing"" the -p parameter? What am I missing?  ",,,,
4493,What do I need to change to allow the java call to use the -p parameter in the .bat file?,,,,
